"Qty","Value","Device","Parts"
"2","","1N4004","D7, D8"
"2","","1N4148DO35-7","D5, D6"
"1","0.1u 50V","C-EU025-024X044","C16"
"11","1k","R-EU_R0603","R7, R8, R14, R15, R16, R17, R18, R19, R21, R30, R36"
"3","1u","C-EUC0603","C11, C12, C13"
"2","2k","POTENTIOMETER_PT-10","R13, R20"
"2","10uF","C-EUC0603","C14, C15"
"2","20k","R-EU_R0603","R2, R6"
"1","100k","R-EU_R0603","R1"
"1","120k","R-EU_R0603","R5"
"1","AS431","AS431ANTR-G1","U8"
"1","ATMEGA8L-8AU","ATMEGA8-AU","IC1"
"1","AVR-ISP-6","AVR-ISP-6","JP1"
"1","AZ1117IH-5.0TRG1","AZ1117IH-5.0TRG1","U7"
"1","B8B-PH-K-S","B8B-PH-K-S","J1"
"1","LM358D","LM358D","U5"
"4","MOUNT-PAD-ROUND2.8","MOUNT-PAD-ROUND2.8","H1, H2, H3, H4"
"1","TDCG1050M-ND","TDCG1050M-ND","SEG1"
"1","TDCR1050M-ND","TDCR1050M-ND","SEG2"
"6","TPTP20SQ","TPTP20SQ","SCL, SDA, SS, V+, V-, VCC"
